id,name,region,url,notes,collected_at
13,Google,,,"[Gemini API Pricing (August 2026): Model & Token Costs] 2 days ago · Compare current Google Gemini model pricing per 1M tokens: Gemini 3.6 Flash $1.50/$7.50, 3.1 Pro $2/$12 and 3.5 Flash-Lite $0.30/$2.50, with cache rates, Batch costs, and a Gemini pricing calculator. Last checked August 15, 2026.
[Gemini API Pricing Calculator & Cost Guide (Aug 2026)] 2 days ago · Calculate Gemini API costs. Compare Gemini 3.1 Pro, 3.7 Flash, and 3.5 Flash-Lite per token with free tiers, batch API, and context caching discounts.
[Google Gemini API Pricing 2026: Plans & Hidden Costs] Aug 8, 2026 · Google Gemini API costs Free to $18 per million tokens as of August 2026, with 4 plans available including a free tier. Plan: Free (free). Custom pricing is available on request. Pricing depends on your chosen tier, contract length, and negotiated discounts. Use the interactive pricing calculator to estimate your exact cost based on team size and requirements. Free tier: Yes",2026-08-17
14,xAI,,,"[xAI Grok API Pricing 2026: $0.2-$30 per million tokens] May 23, 2026 · xAI Grok API offers usage-based pricing from $1.25–$2.50 per million tokens as of August 2026 and custom pricing for larger requirements. Plan: Pay-as-you-go (Grok 4.3) (usage-based).
[xAI Grok API Pricing 2026: Every Model, Context Window, and ...] May 7, 2026 · xAI’s Grok API in 2026 offers three distinct models priced from $0.20 to $6.00 per million tokens, with a 2M-token context window on the flagship tiers — undercutting Anthropic’s Claude Opus 4.7 by 92% on input costs and GPT-5.5 by 60% on output costs at comparable capability levels.
[xAI Grok API Pricing June 2026 — Per-Million-Token Costs ...] May 16, 2026 · Official xAI Grok API pricing for June 2026. Grok 4.3 at $1.25/1M, Grok 4.1 Fast at $0.20/1M tokens. Free $175/mo credits, 2M context windows, batch discounts, and interactive cost calculator.",2026-08-17
15,Mistral,,,"[Mistral AI Pricing 2026: Le Chat Plans & API Costs] This guide breaks down every price you care about, the four Le Chat plans, the full API rate card per million tokens, the free tier limits, and how the numbers stack up against ChatGPT, Claude, and DeepSeek. We verified all figures against Mistral’s official pricing page in June 2026...
[Mistral API Pricing In 2026: Models, Le Chat Plans, And Costs] Mistral API pricing ranges from $0.02 input per million tokens (Nemo) to $2.00/$5.00 (Magistral Medium). The current flagship, Mistral Large 3, costs $0.50/$1.50 per MTok.
[Mistral API Pricing & Cost Calculator (2026)] Current Mistral API pricing per million tokens — Medium, Small and the open-weight family — with a live cost calculator, worked examples, EU-jurisdiction notes and savings tips. Updated 2026-06-17 · prices auto-refreshed.",2026-08-17
16,Groq,,,"[DeepSeek vs Groq (2026) — Full Comparison | ToolChase] API pricing starts at just $0.30 per million input tokens and $0.50 per million output tokens for V4, with cache hits dropping input cost to $0.03 per million tokens. DeepSeek R1 is the dedicated reasoning model for complex math, science, and logic tasks.
[Groq API Pricing 2026: LPU Inference Costs Explained | DeployBase] Groq API pricing guide for 2026. LPU inference costs, billing models, cost optimization, and comparison to OpenAI, Anthropic. Current as of March 2026.Pricing: per-token like OpenAI. Free tier exists. Batch processing cuts 50%.
[LLM API Pricing Comparison 2026: 30+ Models, Every... | Inference.net] The most complete LLM API pricing comparison for 2026 — covers 30+ models from OpenAI, Anthropic, Google, Mistral, plus open-source inference providers (Groq, Together AI, Fireworks AI, inference.net) that slash costs by 50–95%.",2026-08-17
17,Novita,,,"[Novita - Intelligence, Performance & Price Analysis | Artificial Analysis] Price per token, shown in USD per million tokens.Prices on Novita vary up to 174x across models, from $0.02 per 1M tokens for Llama 3.1 8B to $4.00 per 1M tokens for DeepSeek R1 (Jan).
[DeepSeek V4 Pro Pricing Guide 2026: Pricing, Providers & Cost...] Novita matches the $2.17 per 1M blended price and lands mid-pack on throughput at 35.6 tokens/sec, which is better than DeepInfra, DeepSeek, and SiliconFlow in the benchmark. Direct-from-model creator access.
[Pricing | Novita AI] See pricing for 200+ AI models, GPU instances, and agent sandboxes. Developer-focused with startup-friendly rates.",2026-08-17
18,DeepInfra,,,"[DeepSeek V4 Pro: Model Overview, Features & Performance Guide] DeepSeek V4 Pro is available on DeepInfra with usage-based pricing calculated per million tokens: Token Type. Price per 1M Tokens.
[Claude 3.5 Haiku vs DeepSeek V3 (DeepInfra) — Pricing...] Save $4.63 per million tokens by choosing DeepSeek V3 (DeepInfra) over Claude 3.5 Haiku. Based on blended rate (1M input + 1M output).All pricing data reflects the latest published API rates per million tokens.
[deepseek-ai/DeepSeek-V3 API – Pricing, Benchmarks... | Requesty] deepseek-ai/DeepSeek-V3 is priced at $0.85 per million input tokens and $0.90 per million output tokens when accessed via Requesty. Requesty charges exactly what the upstream provider charges — we don't add markup.",2026-08-17
19,火山套餐,,,"[火山方舟 Coding Plan vs Agent Plan：2026 年选哪个更划算？] May 10, 2026 · 对比火山方舟 Coding Plan 和 Agent Plan 的区别：定位、支持的模型、额度、价格、适用场景。Coding Plan 专注编码，Agent Plan 覆盖全模态和多模态 Agent，帮你选对套餐。
[火山方舟Agent Plan与Coding Plan对比：怎么选更划算？全场景AI订阅选...] May 12, 2026 · 双订阅计划全景解读 火山方舟目前采用双轨并行策略，全新上线的 Agent Plan 与持续运营的 Coding Plan 在定位、模型能力及适用场景上差异显著，且资源池相互独立。 方舟 Agent Plan：全模态智能体订阅 这是面向多模态与复杂 Agent 场景的进阶方案，深度集成了主流大模型与智能体框架。 核心模型： 涵盖 ...
[火山方舟Coding Plan价格详解 每月多少钱？] Apr 9, 2026 · 火山方舟Coding Plan的高性价比核心优势 除了灵活的套餐价格，火山方舟Coding Plan还有多重优势提升性价比： 多模型自由切换：支持Auto智能调度模式，基于效果+速度双维度匹配最优模型，无需额外付费即可体验最新模型能力 全工具额度共享：订阅后可在所有支持的AI编程工具中使用套餐额度，无需 ...",2026-08-17
20,GitHub Copilot,,,"[GitHub · Change is constant. GitHub keeps you ahead. · GitHub] GitHub CopilotWrite better code with AI. GitHub Copilot appDirect agents from issue to merge. MCP RegistryIntegrate external tools.
[GitHub Copilot с 1 июня переходит на оплату по токенам... / Хабр] С 1 июня 2026 года GitHub Copilot перейдет на оплату по фактическому использованию: вместо месячного лимита премиум-запросов у каждого плана появится счет в новых кредитах GitHub AI Credits — они списываются по числу токенов, которые тратит модель.
[Set up GitHub Copilot in VS Code] Access your GitHub Copilot subscription and set up GitHub Copilot in Visual Studio.Use a different GitHub account per workspace or profile. Remove AI features from VS Code.",2026-08-17
21,Fireworks,,,,2026-08-17
22,Together,,,,2026-08-17
23,Parasail,,,,2026-08-17
24,Cerebras,,,,2026-08-17
25,SambaNova,,,,2026-08-17
26,字节豆包,,,,2026-08-17
27,阶跃星辰,,,,2026-08-17
28,Cursor,,,,2026-08-17
29,AWS Bedrock,,,,2026-08-17
30,Azure OpenAI,,,,2026-08-17
31,Cloudflare,,,,2026-08-17
32,Replicate,,,,2026-08-17
33,Modal,,,,2026-08-17
34,Perplexity,,,,2026-08-17
35,NVIDIA NIM,,,,2026-08-17
36,Cohere,,,,2026-08-17
37,Nous Research,,,,2026-08-17
38,Meta Llama,,,,2026-08-17
39,HuggingFace,,,,2026-08-17
40,美团LongCat,,,,2026-08-17
41,Windsurf,,,,2026-08-17
42,Replit,,,,2026-08-17
43,Bolt,,,,2026-08-17
44,v0,,,,2026-08-17
45,Devin,,,,2026-08-17
46,Sourcegraph,,,,2026-08-17
47,AmazonQ,,,,2026-08-17
48,GeminiCodeAssist,,,,2026-08-17
49,通义灵码,,,,2026-08-17
50,CodeGeeX,,,,2026-08-17
51,Comate,,,,2026-08-17
52,CodeBuddy,,,,2026-08-17
53,Trae,,,,2026-08-17
54,MarsCode,,,,2026-08-17
55,Midjourney,,,,2026-08-17
56,Runway,,,,2026-08-17
57,Kling,,,,2026-08-17
58,即梦,,,,2026-08-17
59,Sora,,,,2026-08-17
60,Suno,,,,2026-08-17
61,ElevenLabs,,,,2026-08-17
62,HeyGen,,,,2026-08-17
63,零一万物,,,,2026-08-17
64,百川,,,,2026-08-17
65,商汤,,,,2026-08-17
66,昆仑万维,,,,2026-08-17
67,华为盘古,,,,2026-08-17
68,360智脑,,,,2026-08-17
69,DeepBricks,,,,2026-08-17
70,无问芯穹,,,,2026-08-17
71,Z.ai,,,,2026-08-17
72,GoogleOne,,,,2026-08-17
73,Microsoft,,,,2026-08-17
74,Lovable,,,,2026-08-17
75,Coze,,,,2026-08-17
76,Dify,,,,2026-08-17
77,Voyage,,,,2026-08-17
78,Jina,,,,2026-08-17
79,OpenClaw,,,,2026-08-17
80,n8n,,,,2026-08-17
81,Stability,,,,2026-08-17
82,Flux,,,,2026-08-17
83,Manus,,,,2026-08-17
84,Poe,,,,2026-08-17
85,Pika,,,,2026-08-17
86,Luma,,,,2026-08-17
87,Ideogram,,,,2026-08-17
88,Vidu,,,,2026-08-17
89,Vertex AI,,,,2026-08-17
90,Amazon Nova,,,,2026-08-17
91,Microsoft Phi,,,,2026-08-17
92,Adobe Firefly,,,,2026-08-17
