id,platform_id,model_name,context_window,notes,collected_at,region
127,2,openai/gpt-5.6-terra,1050000,"OpenAI: GPT-5.6 Terra; created=1783590857; arch=file,image,text",2026-08-17,
128,2,openai/gpt-5.6-terra:batch,1050000,"OpenAI: GPT-5.6 Terra (batch); created=1783590857; arch=file,image,text",2026-08-17,
129,2,openai/gpt-5.6-sol-pro,1050000,"OpenAI: GPT-5.6 Sol Pro; created=1783590854; arch=file,image,text",2026-08-17,
130,2,openai/gpt-5.6-sol-pro:batch,1050000,"OpenAI: GPT-5.6 Sol Pro (batch); created=1783590854; arch=file,image,text",2026-08-17,
131,2,openai/gpt-5.6-sol,1050000,"OpenAI: GPT-5.6 Sol; created=1783590850; arch=file,image,text",2026-08-17,
132,2,openai/gpt-5.6-sol:batch,1050000,"OpenAI: GPT-5.6 Sol (batch); created=1783590850; arch=file,image,text",2026-08-17,
133,2,x-ai/grok-4.5,500000,"SpaceXAI: Grok 4.5; created=1783523154; arch=text,image,file",2026-08-17,
134,2,~x-ai/grok-latest,500000,"xAI: Grok Latest; created=1783519360; arch=text,image,file",2026-08-17,
135,2,aion-labs/aion-3.0-mini,131072,AionLabs: Aion-3.0-Mini; created=1783443096; arch=text,2026-08-17,
136,2,aion-labs/aion-3.0,131072,AionLabs: Aion-3.0; created=1783443095; arch=text,2026-08-17,
137,2,tencent/hy3,262144,Tencent: Hy3; created=1783344048; arch=text,2026-08-17,
138,2,poolside/laguna-xs-2.1,262144,Poolside: Laguna XS 2.1; created=1783002429; arch=text,2026-08-17,
139,2,poolside/laguna-xs-2.1:free,262144,Poolside: Laguna XS 2.1 (free); created=1783002429; arch=text,2026-08-17,
140,2,anthropic/claude-sonnet-5,1000000,"Anthropic: Claude Sonnet 5; created=1782843083; arch=text,image,file",2026-08-17,
141,2,anthropic/claude-sonnet-5:batch,1000000,"Anthropic: Claude Sonnet 5 (batch); created=1782843083; arch=text,image,file",2026-08-17,
142,2,google/gemini-3.1-flash-lite-image,65536,"Google: Nano Banana 2 Lite (Gemini 3.1 Flash Lite Image); created=1782837225; arch=image,text",2026-08-17,
143,2,nex-agi/nex-n2-mini,262144,"Nex AGI: Nex-N2-Mini; created=1782312964; arch=text,image",2026-08-17,
144,2,sakana/fugu-ultra,1000000,"Sakana: Fugu Ultra; created=1782276303; arch=text,image",2026-08-17,
145,2,google/gemini-3.1-flash-image,131072,"Google: Nano Banana 2 (Gemini 3.1 Flash Image); created=1781754065; arch=image,text",2026-08-17,
146,2,google/gemini-3-pro-image,131072,"Google: Nano Banana Pro (Gemini 3 Pro Image); created=1781754054; arch=image,text",2026-08-17,
147,2,cohere/north-mini-code:free,256000,Cohere: North Mini Code (free); created=1781723748; arch=text,2026-08-17,
148,2,z-ai/glm-5.2,1048576,Z.ai: GLM 5.2; created=1781631930; arch=text,2026-08-17,
149,2,z-ai/glm-5.2:batch,512000,Z.ai: GLM 5.2 (batch); created=1781631930; arch=text,2026-08-17,
150,2,z-ai/glm-5.2:free,128000,Z.ai: GLM 5.2 (free); created=1781631930; arch=text,2026-08-17,
151,2,openrouter/fusion,1000000,OpenRouter: Fusion; created=1781371647; arch=text,2026-08-17,
152,2,moonshotai/kimi-k2.7-code,262144,"MoonshotAI: Kimi K2.7 Code; created=1781266361; arch=text,image",2026-08-17,
153,2,moonshotai/kimi-k2.7-code:batch,262144,"MoonshotAI: Kimi K2.7 Code (batch); created=1781266361; arch=text,image",2026-08-17,
154,2,~anthropic/claude-fable-latest,1000000,"Anthropic: Claude Fable Latest; created=1781029944; arch=text,image,file",2026-08-17,
155,2,anthropic/claude-fable-5,1000000,"Anthropic: Claude Fable 5; created=1781007515; arch=text,image,file",2026-08-17,
156,2,anthropic/claude-fable-5:batch,1000000,"Anthropic: Claude Fable 5 (batch); created=1781007515; arch=text,image,file",2026-08-17,
157,2,nex-agi/nex-n2-pro,262144,"Nex AGI: Nex-N2-Pro; created=1780937140; arch=text,image",2026-08-17,
158,2,nvidia/nemotron-3.5-content-safety:free,128000,"NVIDIA: Nemotron 3.5 Content Safety (free); created=1780581864; arch=text,image",2026-08-17,
159,2,nvidia/nemotron-3-ultra-550b-a55b,512288,NVIDIA: Nemotron 3 Ultra; created=1780551208; arch=text,2026-08-17,
160,2,nvidia/nemotron-3-ultra-550b-a55b:batch,512288,NVIDIA: Nemotron 3 Ultra (batch); created=1780551208; arch=text,2026-08-17,
161,2,nvidia/nemotron-3-ultra-550b-a55b:free,1000000,NVIDIA: Nemotron 3 Ultra (free); created=1780551208; arch=text,2026-08-17,
162,2,qwen/qwen3.7-plus,1000000,"Qwen: Qwen3.7 Plus; created=1780491783; arch=text,image",2026-08-17,
163,2,minimax/minimax-m3,1048576,"MiniMax: MiniMax M3; created=1780245374; arch=text,image,video",2026-08-17,
164,2,minimax/minimax-m3:batch,524288,"MiniMax: MiniMax M3 (batch); created=1780245374; arch=text,image,video",2026-08-17,
165,2,stepfun/step-3.7-flash,262144,"StepFun: Step 3.7 Flash; created=1779985069; arch=text,image,video",2026-08-17,
166,2,anthropic/claude-opus-4.8-fast,1000000,"Anthropic: Claude Opus 4.8 (Fast); created=1779913703; arch=text,image,file",2026-08-17,
167,2,anthropic/claude-opus-4.8,1000000,"Anthropic: Claude Opus 4.8; created=1779905091; arch=text,image,file",2026-08-17,
168,2,anthropic/claude-opus-4.8:batch,1000000,"Anthropic: Claude Opus 4.8 (batch); created=1779905091; arch=text,image,file",2026-08-17,
169,2,qwen/qwen3.7-max,1000000,Qwen: Qwen3.7 Max; created=1779376861; arch=text,2026-08-17,
170,2,x-ai/grok-build-0.1,256000,"SpaceXAI: Grok Build 0.1; created=1779298123; arch=text,image,file",2026-08-17,
171,2,google/gemini-3.5-flash,1048576,"Google: Gemini 3.5 Flash; created=1779193800; arch=text,image,video,file,audio",2026-08-17,
172,2,google/gemini-3.5-flash:batch,1048576,"Google: Gemini 3.5 Flash (batch); created=1779193800; arch=text,image,video,file,audio",2026-08-17,
173,2,anthropic/claude-opus-4.7-fast,1000000,"Anthropic: Claude Opus 4.7 (Fast); created=1778613011; arch=text,image,file",2026-08-17,
174,2,perceptron/perceptron-mk1,32768,"Perceptron: Perceptron Mk1; created=1778597029; arch=text,image,video",2026-08-17,
175,2,inclusionai/ring-2.6-1t,262144,inclusionAI: Ring-2.6-1T; created=1778247440; arch=text,2026-08-17,
176,2,google/gemini-3.1-flash-lite,1048576,"Google: Gemini 3.1 Flash Lite; created=1778168828; arch=text,image,video,file,audio",2026-08-17,
177,2,google/gemini-3.1-flash-lite:batch,1048576,"Google: Gemini 3.1 Flash Lite (batch); created=1778168828; arch=text,image,video,file,audio",2026-08-17,
178,2,openai/gpt-chat-latest,400000,"OpenAI: GPT Chat Latest; created=1778000212; arch=text,image,file",2026-08-17,
179,2,x-ai/grok-4.3,1000000,"SpaceXAI: Grok 4.3; created=1777591821; arch=text,image,file",2026-08-17,
180,2,ibm-granite/granite-4.1-8b,131072,IBM: Granite 4.1 8B; created=1777577071; arch=text,2026-08-17,
181,2,mistralai/mistral-medium-3-5,262144,"Mistral: Mistral Medium 3.5; created=1777570439; arch=text,image,file",2026-08-17,
182,2,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,256000,"NVIDIA: Nemotron 3 Nano Omni (free); created=1777393095; arch=text,audio,image,video",2026-08-17,
183,2,~anthropic/claude-haiku-latest,200000,"Anthropic Claude Haiku Latest; created=1777318492; arch=text,image,file",2026-08-17,
184,2,~openai/gpt-mini-latest,400000,"OpenAI GPT Mini Latest; created=1777318471; arch=file,image,text",2026-08-17,
185,2,~google/gemini-pro-latest,1048576,"Google Gemini Pro Latest; created=1777318451; arch=audio,file,image,text,video",2026-08-17,
186,2,~moonshotai/kimi-latest,1048576,"MoonshotAI Kimi Latest; created=1777318428; arch=text,image,video",2026-08-17,
187,2,~google/gemini-flash-latest,1048576,"Google Gemini Flash Latest; created=1777318398; arch=text,image,video,file,audio",2026-08-17,
188,2,~anthropic/claude-sonnet-latest,1000000,"Anthropic Claude Sonnet Latest; created=1777318368; arch=text,image,file",2026-08-17,
189,2,~openai/gpt-latest,1050000,"OpenAI GPT Latest; created=1777318334; arch=file,image,text",2026-08-17,
190,2,qwen/qwen3.5-plus-20260420,1000000,"Qwen: Qwen3.5 Plus 2026-04-20; created=1777261368; arch=text,image,video",2026-08-17,
191,2,qwen/qwen3.6-flash,1000000,"Qwen: Qwen3.6 Flash; created=1777261362; arch=text,image,video",2026-08-17,
192,2,qwen/qwen3.6-35b-a3b,262144,"Qwen: Qwen3.6 35B A3B; created=1777260255; arch=text,image,video",2026-08-17,
193,2,qwen/qwen3.6-max-preview,262144,Qwen: Qwen3.6 Max Preview; created=1777260242; arch=text,2026-08-17,
194,2,qwen/qwen3.6-27b,262144,"Qwen: Qwen3.6 27B; created=1777255064; arch=text,image,video",2026-08-17,
195,2,openai/gpt-5.5-pro,1050000,"OpenAI: GPT-5.5 Pro; created=1777051896; arch=file,image,text",2026-08-17,
196,2,openai/gpt-5.5-pro:batch,1050000,"OpenAI: GPT-5.5 Pro (batch); created=1777051896; arch=file,image,text",2026-08-17,
197,2,openai/gpt-5.5,1050000,"OpenAI: GPT-5.5; created=1777051893; arch=file,image,text",2026-08-17,
198,2,openai/gpt-5.5:batch,1050000,"OpenAI: GPT-5.5 (batch); created=1777051893; arch=file,image,text",2026-08-17,
199,2,deepseek/deepseek-v4-pro,1048576,DeepSeek: DeepSeek V4 Pro 0423; created=1777000679; arch=text,2026-08-17,
200,2,deepseek/deepseek-v4-flash,1048576,DeepSeek: DeepSeek V4 Flash 0423; created=1777000666; arch=text,2026-08-17,
201,2,inclusionai/ling-2.6-1t,262144,inclusionAI: Ling-2.6-1T; created=1776948238; arch=text,2026-08-17,
202,2,tencent/hy3-preview,262144,Tencent: Hy3 preview; created=1776878150; arch=text,2026-08-17,
203,2,xiaomi/mimo-v2.5-pro,1050000,Xiaomi: MiMo-V2.5-Pro; created=1776874273; arch=text,2026-08-17,
204,2,xiaomi/mimo-v2.5,1050000,"Xiaomi: MiMo-V2.5; created=1776874269; arch=text,audio,image,video",2026-08-17,
205,2,openai/gpt-5.4-image-2,272000,"OpenAI: GPT-5.4 Image 2; created=1776797528; arch=image,text,file",2026-08-17,
206,2,inclusionai/ling-2.6-flash,262144,inclusionAI: Ling-2.6-flash; created=1776795886; arch=text,2026-08-17,
207,2,~anthropic/claude-opus-latest,1000000,"Anthropic: Claude Opus Latest; created=1776795361; arch=text,image,file",2026-08-17,
208,2,openrouter/pareto-code,2000000,Pareto Code Router; created=1776747900; arch=text,2026-08-17,
209,2,moonshotai/kimi-k2.6,262144,"MoonshotAI: Kimi K2.6; created=1776699402; arch=text,image",2026-08-17,
210,2,anthropic/claude-opus-4.7,1000000,"Anthropic: Claude Opus 4.7; created=1776351100; arch=text,image,file",2026-08-17,
211,2,anthropic/claude-opus-4.7:batch,1000000,"Anthropic: Claude Opus 4.7 (batch); created=1776351100; arch=text,image,file",2026-08-17,
212,2,z-ai/glm-5.1,204800,Z.ai: GLM 5.1; created=1775578025; arch=text,2026-08-17,
213,2,google/gemma-4-26b-a4b-it,262144,"Google: Gemma 4 26B A4B ; created=1775227989; arch=image,text,video",2026-08-17,
214,2,google/gemma-4-26b-a4b-it:free,262144,"Google: Gemma 4 26B A4B  (free); created=1775227989; arch=image,text,video",2026-08-17,
215,2,google/gemma-4-31b-it,262144,"Google: Gemma 4 31B; created=1775148486; arch=image,text,video",2026-08-17,
216,2,google/gemma-4-31b-it:free,262144,"Google: Gemma 4 31B (free); created=1775148486; arch=image,text,video",2026-08-17,
217,2,qwen/qwen3.6-plus,1000000,"Qwen: Qwen3.6 Plus; created=1775133557; arch=text,image,video",2026-08-17,
218,2,z-ai/glm-5v-turbo,202752,"Z.ai: GLM 5V Turbo; created=1775061458; arch=image,text,video",2026-08-17,
219,2,arcee-ai/trinity-large-thinking,262144,Arcee AI: Trinity Large Thinking; created=1775058318; arch=text,2026-08-17,
220,2,x-ai/grok-4.20-multi-agent,2000000,"SpaceXAI: Grok 4.20 Multi-Agent; created=1774979158; arch=text,image,file",2026-08-17,
221,2,x-ai/grok-4.20,2000000,"SpaceXAI: Grok 4.20; created=1774979019; arch=text,image,file",2026-08-17,
222,2,google/lyria-3-pro-preview,1048576,"Google: Lyria 3 Pro Preview; created=1774907286; arch=text,image",2026-08-17,
223,2,google/lyria-3-clip-preview,1048576,"Google: Lyria 3 Clip Preview; created=1774907255; arch=text,image",2026-08-17,
224,2,kwaipilot/kat-coder-pro-v2,262144,Kwaipilot: KAT-Coder-Pro V2; created=1774649310; arch=text,2026-08-17,
225,2,rekaai/reka-edge,16384,"Reka Edge; created=1774026965; arch=image,text,video",2026-08-17,
226,2,minimax/minimax-m2.7,204800,MiniMax: MiniMax M2.7; created=1773836697; arch=text,2026-08-17,
227,2,openai/gpt-5.4-nano,400000,"OpenAI: GPT-5.4 Nano; created=1773748187; arch=file,image,text",2026-08-17,
228,2,openai/gpt-5.4-nano:batch,400000,"OpenAI: GPT-5.4 Nano (batch); created=1773748187; arch=file,image,text",2026-08-17,
229,2,openai/gpt-5.4-mini,400000,"OpenAI: GPT-5.4 Mini; created=1773748178; arch=file,image,text",2026-08-17,
230,2,openai/gpt-5.4-mini:batch,400000,"OpenAI: GPT-5.4 Mini (batch); created=1773748178; arch=file,image,text",2026-08-17,
231,2,mistralai/mistral-small-2603,262144,"Mistral: Mistral Small 4; created=1773695685; arch=text,image",2026-08-17,
232,2,z-ai/glm-5-turbo,202752,Z.ai: GLM 5 Turbo; created=1773583573; arch=text,2026-08-17,
233,2,nvidia/nemotron-3-super-120b-a12b,1000000,NVIDIA: Nemotron 3 Super; created=1773245239; arch=text,2026-08-17,
234,2,nvidia/nemotron-3-super-120b-a12b:free,262144,NVIDIA: Nemotron 3 Super (free); created=1773245239; arch=text,2026-08-17,
235,2,bytedance-seed/seed-2.0-lite,262144,"ByteDance Seed: Seed-2.0-Lite; created=1773157231; arch=text,image,video",2026-08-17,
236,2,qwen/qwen3.5-9b,262144,"Qwen: Qwen3.5-9B; created=1773152396; arch=text,image,video",2026-08-17,
237,2,openai/gpt-5.4-pro,1050000,"OpenAI: GPT-5.4 Pro; created=1772734366; arch=text,image,file",2026-08-17,
238,2,openai/gpt-5.4-pro:batch,1050000,"OpenAI: GPT-5.4 Pro (batch); created=1772734366; arch=text,image,file",2026-08-17,
239,2,openai/gpt-5.4,1050000,"OpenAI: GPT-5.4; created=1772734352; arch=text,image,file",2026-08-17,
240,2,openai/gpt-5.4:batch,1050000,"OpenAI: GPT-5.4 (batch); created=1772734352; arch=text,image,file",2026-08-17,
241,2,inception/mercury-2,128000,Inception: Mercury 2; created=1772636275; arch=text,2026-08-17,
242,2,google/gemini-3.1-flash-lite-preview,1048576,"Google: Gemini 3.1 Flash Lite Preview; created=1772512673; arch=text,image,video,file,audio",2026-08-17,
243,2,bytedance-seed/seed-2.0-mini,262144,"ByteDance Seed: Seed-2.0-Mini; created=1772131107; arch=text,image,video",2026-08-17,
244,2,google/gemini-3.1-flash-image-preview,65536,"Google: Nano Banana 2 (Gemini 3.1 Flash Image Preview); created=1772119558; arch=image,text",2026-08-17,
245,2,qwen/qwen3.5-35b-a3b,262144,"Qwen: Qwen3.5-35B-A3B; created=1772053822; arch=text,image,video",2026-08-17,
246,2,qwen/qwen3.5-27b,262144,"Qwen: Qwen3.5-27B; created=1772053810; arch=text,image,video",2026-08-17,
247,2,qwen/qwen3.5-122b-a10b,262144,"Qwen: Qwen3.5-122B-A10B; created=1772053789; arch=text,image,video",2026-08-17,
248,2,qwen/qwen3.5-flash-02-23,1000000,"Qwen: Qwen3.5-Flash; created=1772053776; arch=text,image,video",2026-08-17,
249,2,google/gemini-3.1-pro-preview-customtools,1048576,"Google: Gemini 3.1 Pro Preview Custom Tools; created=1772045923; arch=text,audio,image,video,file",2026-08-17,
250,2,openai/gpt-5.3-codex,400000,"OpenAI: GPT-5.3-Codex; created=1771959164; arch=text,image,file",2026-08-17,
251,2,aion-labs/aion-2.0,131072,AionLabs: Aion-2.0; created=1771881306; arch=text,2026-08-17,
252,2,google/gemini-3.1-pro-preview,1048576,"Google: Gemini 3.1 Pro Preview; created=1771509627; arch=audio,file,image,text,video",2026-08-17,
253,2,google/gemini-3.1-pro-preview:batch,1048576,"Google: Gemini 3.1 Pro Preview (batch); created=1771509627; arch=audio,file,image,text,video",2026-08-17,
254,2,anthropic/claude-sonnet-4.6,1000000,"Anthropic: Claude Sonnet 4.6; created=1771342990; arch=text,image,file",2026-08-17,
255,2,anthropic/claude-sonnet-4.6:batch,1000000,"Anthropic: Claude Sonnet 4.6 (batch); created=1771342990; arch=text,image,file",2026-08-17,
256,2,qwen/qwen3.5-plus-02-15,1000000,"Qwen: Qwen3.5 Plus 2026-02-15; created=1771229416; arch=text,image,video",2026-08-17,
257,2,qwen/qwen3.5-397b-a17b,262144,"Qwen: Qwen3.5 397B A17B; created=1771223018; arch=text,image,video",2026-08-17,
258,2,minimax/minimax-m2.5,204800,MiniMax: MiniMax M2.5; created=1770908502; arch=text,2026-08-17,
259,2,z-ai/glm-5,204800,Z.ai: GLM 5; created=1770829182; arch=text,2026-08-17,
